59 12
Suzanne Mulhouse Lille
Juliette Perpignan Chambery
Guillaume Mamoudzou Montreuil
Lucien Rennes Issy-les-Moulineaux
Loup Mamoudzou Montreuil
Sylvie Rennes Issy-les-Moulineaux
Marc Mamoudzou Montreuil
Genevieve Mamoudzou Montreuil
Francois Mulhouse Lille
Georges Mulhouse Lille
Julien Mamoudzou Montreuil
Olivier Mulhouse Lille
Auguste Mamoudzou Montreuil
Nadine Mamoudzou Montreuil
Vienne Mamoudzou Montreuil
Alain Lorient Dijon
Nicolas Mulhouse Lille
Rene Fontenay-sous-Bois Noumea
Aimee Rennes Issy-les-Moulineaux
Juste Mamoudzou Montreuil
Antoine Mulhouse Lille
Ines Rennes Issy-les-Moulineaux
Romaine Mamoudzou Montreuil
Helene Rennes Issy-les-Moulineaux
Pascal Mulhouse Lille
Marie Lorient Dijon
Henri Rennes Issy-les-Moulineaux
Modeste Mamoudzou Montreuil
Philippe Mamoudzou Montreuil
Christophe Lorient Dijon
Claire Lorient Dijon
Aime Mamoudzou Montreuil
Pierre Mamoudzou Montreuil
Adele Mulhouse Lille
Armand Mamoudzou Montreuil
Francoise Mamoudzou Montreuil
Leon Rennes Issy-les-Moulineaux
Lucie Mamoudzou Montreuil
Solange Mamoudzou Montreuil
Jeanne Mamoudzou Montreuil
Reine Fontenay-sous-Bois Noumea
Marine Mamoudzou Montreuil
Edouard Lorient Dijon
Josette Perpignan Chambery
Adelaide Mamoudzou Montreuil
Romain Rennes Issy-les-Moulineaux
Yvonne Mulhouse Lille
Paule Rennes Issy-les-Moulineaux
Virginie Rennes Issy-les-Moulineaux
Jolie Mulhouse Lille
Urbain Mamoudzou Montreuil
Marguerite Mamoudzou Montreuil
Germain Lorient Dijon
Victoire Rennes Issy-les-Moulineaux
Celeste Mamoudzou Montreuil
Jacques Lorient Dijon
Luc Mamoudzou Montreuil
Therese Mamoudzou Montreuil
Laurent Rennes Issy-les-Moulineaux

